country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Jordan,83,87,90,91,98,92,88,97,90,90,95,95,96,98,98,96,99,99,96,93,90
Japan,,,,,,,,,78,92,97,92,92,93,94,93,93,95,93,93,95
Kazakhstan,98,95,98,99,99,96,99,99,99,99,99,99,97,99,99,98,99,99,98,98,91
Kenya,,,,,,,,,,,,,,,,28,32,35,45,49,49
Kyrgyz Republic,96,98,98,98,98,98,97,95,97,98,98,98,98,97,97,96,98,96,96,98,93
Cambodia,,,,,,,,,,,,,41,52,62,61,67,72,70,82,80
Kiribati,,,,,,,,,,35,21,61,9,84,80,76,79,79,85,91,57
St. Kitts and Nevis,99,99,99,98,98,97,96,95,94,99,99,99,90,94,90,90,96,95,96,98,99
South Korea,39,67,95,95,99,99,99,99,99,99,98,98,97,95,96,97,97,97,97,96,
Kuwait,,,,,,77,96,90,86,94,99,99,99,99,86,96,99,99,94,94,
Lao,,,,,,,,,,,,,,,,,,0,53,44,47
Lebanon,56,42,28,14,24,34,45,55,65,75,73,70,68,65,63,63,63,63,63,63,64
Liberia,,,,,,,,,,,,,,,,,,,,13,30
Libya,,81,86,90,95,95,96,97,97,97,97,97,97,95,92,97,96,94,72,72,72
St. Lucia,89,73,71,69,67,56,45,33,22,63,74,72,80,62,79,95,88,73,68,75,71
Sri Lanka,,52,92,90,95,99,98,97,97,97,99,99,99,99,99,99,99,99,99,99,96
Lesotho,,46,50,47,56,68,80,80,80,81,81,82,82,82,82,82,82,82,82,82,69
Lithuania,97,96,95,93,93,95,94,96,96,94,95,94,93,92,92,92,92,92,92,93,91
Luxembourg,,,,,,,,,,,,,86,86,86,86,86,86,90,90,90
Latvia,90,95,96,97,98,99,99,98,94,92,93,92,92,92,89,92,89,89,94,96,94
Morocco,,,,,91,92,92,92,,,,,,,54,95,99,99,99,99,
Monaco,,,,,,,,,,,,,,,79,79,79,79,79,79,
Moldova,,,69,96,98,98,99,95,97,98,98,96,95,94,93,90,95,92,96,95,93
Madagascar,,,,,,,,,,,,,,,,,,,,,24
Maldives,,,,,,,,56,76,96,96,96,99,99,97,99,99,99,99,96,96
Mexico,98,99,89,96,97,97,91,85,94,92,91,97,92,76,95,96,98,62,99,55,78
Marshall Islands,6,6,70,90,92,71,60,91,79,66,90,74,58,56,53,70,49,62,61,64,
North Macedonia,95,94,95,97,95,95,96,95,95,97,99,98,96,96,96,93,93,97,94,94,
